training_idx,model_name,optimizer,optimizer_kwargs,loss,loss_kwargs,compile_kwargs,fit_kwargs,dataset,dataset_description,dataset_params,results,date,time
15,Conv-3.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1976587474346161, 'best_loss_epoch': 14, 'best_val_loss': 0.1974711418151855, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.802341103553772, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8025293350219727, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.1976587474346161, 'last_ssim_metric': 0.802341103553772, 'last_epoch': 14}",2022-02-11,20:51
16,Conv-2.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.2063318789005279, 'best_loss_epoch': 14, 'best_val_loss': 0.206196442246437, 'best_val_loss_epoch': 13, 'best_ssim_metric': 0.7936675548553467, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.7938039302825928, 'best_val_ssim_metric_epoch': 13, 'last_loss': 0.2063318789005279, 'last_ssim_metric': 0.7936675548553467, 'last_epoch': 14}",2022-02-11,21:50
17,Conv-3.1-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1857891082763672, 'best_loss_epoch': 14, 'best_val_loss': 0.1853700876235962, 'best_val_loss_epoch': 12, 'best_ssim_metric': 0.8142110109329224, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8146297335624695, 'best_val_ssim_metric_epoch': 12, 'last_loss': 0.1857891082763672, 'last_ssim_metric': 0.8142110109329224, 'last_epoch': 14}",2022-02-11,22:09
18,AutoEncoder-0.3-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1697375327348709, 'best_loss_epoch': 14, 'best_val_loss': 0.1687128692865371, 'best_val_loss_epoch': 13, 'best_ssim_metric': 0.8302627205848694, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8312869071960449, 'best_val_ssim_metric_epoch': 13, 'last_loss': 0.1697375327348709, 'last_ssim_metric': 0.8302627205848694, 'last_epoch': 14}",2022-02-11,22:28
19,AutoEncoder-0.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1977832019329071, 'best_loss_epoch': 14, 'best_val_loss': 0.1973785758018493, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.8022183775901794, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8026213645935059, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.1977832019329071, 'last_ssim_metric': 0.8022183775901794, 'last_epoch': 14}",2022-02-11,22:47
20,Conv-3.3-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1697265356779098, 'best_loss_epoch': 14, 'best_val_loss': 0.1688070893287658, 'best_val_loss_epoch': 12, 'best_ssim_metric': 0.8302732706069946, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8311928510665894, 'best_val_ssim_metric_epoch': 12, 'last_loss': 0.1697265356779098, 'last_ssim_metric': 0.8302732706069946, 'last_epoch': 14}",2022-02-11,23:07
21,Conv-4.1-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1730501353740692, 'best_loss_epoch': 14, 'best_val_loss': 0.1727993637323379, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.8269506096839905, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.827200710773468, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.1730501353740692, 'last_ssim_metric': 0.8269506096839905, 'last_epoch': 14}",2022-02-11,23:28
22,Unet2.0-64x64.json,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 25, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1456458419561386, 'best_loss_epoch': 24, 'best_val_loss': 0.1469033509492874, 'best_val_loss_epoch': 23, 'best_ssim_metric': 0.8543541431427002, 'best_ssim_metric_epoch': 24, 'best_val_ssim_metric': 0.8530964851379395, 'best_val_ssim_metric_epoch': 23, 'last_loss': 0.1456458419561386, 'last_ssim_metric': 0.8543541431427002, 'last_epoch': 24}",2022-02-13,11:51
23,Conv-4.2-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1735697984695434, 'best_loss_epoch': 14, 'best_val_loss': 0.17307710647583, 'best_val_loss_epoch': 13, 'best_ssim_metric': 0.82643061876297, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8269227743148804, 'best_val_ssim_metric_epoch': 13, 'last_loss': 0.1735697984695434, 'last_ssim_metric': 0.82643061876297, 'last_epoch': 14}",2022-02-12,03:20
24,AutoEncoder-1.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1590506285429, 'best_loss_epoch': 14, 'best_val_loss': 0.1584358066320419, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.8409497737884521, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8415644764900208, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.1590506285429, 'last_ssim_metric': 0.8409497737884521, 'last_epoch': 14}",2022-02-12,03:42
25,Unet2.3-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 25, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.2898546755313873, 'best_loss_epoch': 24, 'best_val_loss': 0.2663868963718414, 'best_val_loss_epoch': 18, 'best_ssim_metric': 0.8474166989326477, 'best_ssim_metric_epoch': 24, 'best_val_ssim_metric': 0.8481829166412354, 'best_val_ssim_metric_epoch': 24, 'last_loss': 0.2898546755313873, 'last_ssim_metric': 0.8474166989326477, 'last_epoch': 24}",2022-02-13,12:31
26,Conv-8.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1579610705375671, 'best_loss_epoch': 14, 'best_val_loss': 0.1579305082559585, 'best_val_loss_epoch': 12, 'best_ssim_metric': 0.8420382738113403, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8420697450637817, 'best_val_ssim_metric_epoch': 12, 'last_loss': 0.1579610705375671, 'last_ssim_metric': 0.8420382738113403, 'last_epoch': 14}",2022-02-12,06:34
27,Unet2.1-64x64.json,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 25, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1501829326152801, 'best_loss_epoch': 24, 'best_val_loss': 0.149885281920433, 'best_val_loss_epoch': 24, 'best_ssim_metric': 0.8498169779777527, 'best_ssim_metric_epoch': 24, 'best_val_ssim_metric': 0.8501147627830505, 'best_val_ssim_metric_epoch': 24, 'last_loss': 0.1501829326152801, 'last_ssim_metric': 0.8498169779777527, 'last_epoch': 24}",2022-02-13,12:59
28,AutoEncoder-1.1-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1542059630155563, 'best_loss_epoch': 14, 'best_val_loss': 0.1544266939163208, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.8457944393157959, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8455735445022583, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.1542059630155563, 'last_ssim_metric': 0.8457944393157959, 'last_epoch': 14}",2022-02-12,11:20
