model_name,total_params,params_distribution,total_layers,total_treinable_layers,total_paths,total_kernel_regularizers,total_bias_regularizers,total_activity_regularizers,kernel_regularizers_distribution,bias_regularizers_distribution,activity_regularizers_distribution,kernel_regularizers_L1_distribution,bias_regularizers_L1_distribution,activity_regularizers_L1_distribution,kernel_regularizers_L2_distribution,bias_regularizers_L2_distribution,activity_regularizers_L2_distribution,initializer_count,dropout_count,dropout_distribution,batch_normalization_count,batch_normalization_distribution
AutoEncoder-0.0-64x64,142,0.4953051643192488,6,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 3}, 'bias': {'Zeros': 3}}",0,0,0,0
AutoEncoder-0.3-64x64,6364,0.5702912214540121,6,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 3}, 'bias': {'Zeros': 3}}",0,0,0,0
AutoEncoder-1.0-64x64,10151,0.5171805733425279,10,5,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 5}, 'bias': {'Zeros': 5}}",0,0,0,0
AutoEncoder-2.0-64x64,388896,0.4632441823104622,21,14,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 14}, 'bias': {'Zeros': 14}}",0,0,0,0
AutoEncoder-2.3-64x64,637501,0.4707249385453811,21,14,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 14}, 'bias': {'Zeros': 14}}",0,0,0,0
ResidualAutoEncoder-0.0-64x64,6778,0.5580923576276188,8,5,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 5}, 'bias': {'Zeros': 5}}",0,0,0,0
Conv-8.0-64x64,25237,0.4997380389463442,9,8,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 8}, 'bias': {'Zeros': 8}}",0,0,0,0
Conv-2.0-64x64,153,0.4923747276688453,3,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 2}, 'bias': {'Zeros': 2}}",0,0,0,0
Conv-3.3-64x64,6364,0.5527184160905091,4,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 3}, 'bias': {'Zeros': 3}}",0,0,0,0
Unet2.1-64x64.json,4580873,0.5905595562433092,46,36,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 36}, 'bias': {'Zeros': 36}}",0,0,0,0
