epoch;loss;val_loss
0;0.4890185296535492;0.2164463847875595
1;0.21047881245613098;0.20684897899627686
2;0.20026271045207977;0.19424550235271454
3;0.19498121738433838;0.19394677877426147
4;0.19133234024047852;0.19070735573768616
5;0.18861357867717743;0.1858195662498474
6;0.18673373758792877;0.1862681657075882
7;0.18531547486782074;0.18315237760543823
8;0.1841411292552948;0.18348152935504913
9;0.18304575979709625;0.18248426914215088
10;0.1819532960653305;0.1810772716999054
11;0.18151266872882843;0.17946401238441467
12;0.18077683448791504;0.18322716653347015
13;0.1802069991827011;0.17826470732688904
14;0.17960256338119507;0.1796914041042328
