epoch;loss;val_loss
0;0.19603921473026276;0.16418541967868805
1;0.1617373675107956;0.15733127295970917
2;0.15655124187469482;0.156598761677742
3;0.15273377299308777;0.15237456560134888
4;0.15032543241977692;0.1490478366613388
5;0.14932648837566376;0.14729365706443787
6;0.14769767224788666;0.14715653657913208
7;0.14692848920822144;0.1460544615983963
8;0.14615724980831146;0.14777891337871552
9;0.14564688503742218;0.1456679254770279
10;0.14577032625675201;0.14587312936782837
11;0.14494915306568146;0.14638900756835938
12;0.14447037875652313;0.14458498358726501
13;0.1441173106431961;0.14620475471019745
14;0.14394065737724304;0.1443120539188385
15;0.1437041014432907;0.1440814733505249
16;0.1435428261756897;0.1480640023946762
17;0.14325958490371704;0.14418792724609375
18;0.1430734097957611;0.1454790085554123
19;0.1429838240146637;0.14510051906108856
