epoch,loss,val_loss
0,-0.27873948216438293,-0.48868516087532043
1,-0.7077093124389648,-0.6125896573066711
2,-0.6813550591468811,-0.7881318926811218
3,-0.7430972456932068,-0.6848804354667664
4,-0.770995020866394,-0.7848620414733887
5,-0.7465808391571045,-0.7982937693595886
6,-0.7923483848571777,-0.7398594617843628
7,-0.7775482535362244,-0.8116878271102905
8,-0.777474582195282,-0.7616931796073914
9,-0.8077167868614197,-0.7949519753456116
