epoch;loss;val_loss
0;0.25392207503318787;0.2081267088651657
1;0.20454594492912292;0.19760127365589142
2;0.19642841815948486;0.19586670398712158
3;0.19195376336574554;0.1886584758758545
4;0.1889992356300354;0.18626436591148376
5;0.18634818494319916;0.18357177078723907
6;0.184466153383255;0.18333493173122406
7;0.18291878700256348;0.1803627610206604
8;0.1816737949848175;0.18016716837882996
9;0.1806507557630539;0.1804036945104599
10;0.17972633242607117;0.17757436633110046
11;0.17906682193279266;0.17724160850048065
12;0.17817601561546326;0.17717225849628448
13;0.17753145098686218;0.17804169654846191
14;0.17700383067131042;0.1802256852388382
